"HAGRID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common name","Female_maturity","Male_maturity","Gestation","Weaning","Litter_size","Litters_pa","Interbirth_interval","Birth_weight","Weaning_weight","Adult_weight","Growth_rate","Maximum_longevity","Source","Specimen_origin","Sample_size","Data_quality","IMR","MRDT","Metabolic_rate","Body_mass","Temperature","References"
75,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","gratiosa","Barking treefrog",NA,NA,NA,NA,2250,NA,NA,NA,NA,NA,NA,12.5,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451,749"
76,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","japonica","Japanese treefrog",1278,1278,NA,NA,920,NA,NA,NA,NA,NA,NA,8.9,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
77,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","squirella","Squirrel treefrog",NA,NA,1,NA,1000,1,NA,NA,NA,NA,NA,8.5,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
78,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","versicolor","Gray treefrog",730,730,4,NA,1800,NA,NA,NA,NA,7.2,NA,7.8,"543","captivity","medium","acceptable",NA,NA,0.00433,6.97,290.5,"37,528,543,749"
79,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hypsiboas","rosenbergi","Rosenbergs treefrog					775									unknown	small	low						485,749
00080	Animalia	Chordata	Amphibia	Anura	Hylidae	Litoria	caerulea	Australian green treefrog					1100							20	451	captivity	large	acceptable						451,749
00081	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	septentrionalis	Cuban treefrog	255	120	1		1500							12.9	451	captivity	medium	acceptable						451,749
00082	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	vastus	Hispaniola giant treefrog												6.6	451	captivity	small	questionable						451
00083	Animalia	Chordata	Amphibia	Anura	Hylidae	Pachymedusa	dacnicolor	Mexican leaf frog												8.7	451	captivity	small	acceptable						451
00084	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	crucifer	Spring peeper	912	912	10		700					4				unknown	small	low			0.00105	0.9	292	37,451,525,528,749
00085	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudis	paradoxa	Paradox frog												11	451	captivity	small	acceptable						451
00086	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	baudinii	Mexican treefrog					2480							6.3	485	captivity	small	acceptable						485,749
00087	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	fodiens	Lowland burrowing treefrog												5.1	485	captivity	small	acceptable						485
00088	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	phaeota	Masked treefrog					2000							4.1	485	captivity	small	acceptable						485,749
00089	Animalia	Chordata	Amphibia	Anura	Hylidae	Trachycephalus	venulosus	Marbled treefrog												10.5	451	captivity	small	acceptable						451
00090	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Leptodactylus	pentadactylus	Tungara frog												18.8	451	captivity	medium	acceptable						451
00091	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	aurantiaca	Golden mantella			14		40							10.9	451	captivity	large	acceptable						451,749
00092	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	expectata	Blue-legged mantella	365	365										3	1060	wild	small	questionable						1060
00093	Animalia	Chordata	Amphibia	Anura	Microhylidae	Gastrophryne	carolinensis	Eastern narrow-mouthed toad	547	365	1		722							6.8	485	captivity	small	acceptable						485,528,749
00094	Animalia	Chordata	Amphibia	Anura	Microhylidae	Kaloula	pulchra	Malaysian narrowmouth toad												11	485	captivity	medium	acceptable						485
00095	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	ornata	Ornate narrow-mouthed frog	547	182						1125				5	964	wild	small	acceptable						964
00096	Animalia	Chordata	Amphibia	Anura	Microhylidae	Phrynomantis	bifasciatus	Red-banded frog												10.3	451	captivity	medium	acceptable						451
00097	Animalia	Chordata	Amphibia	Anura	Microhylidae	Scaphiophryne	gottlebei	Rainbow frog	365	365										2	1060	wild	small	questionable						1060
00098	Animalia	Chordata	Amphibia	Anura	Myobatrachidae	Mixophyes	fleayi	Fleays barred frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"1433","wild","medium","acceptable",NA,NA,NA,NA,NA,"1433"
99,"Animalia","Chordata","Amphibia","Anura","Pelobatidae","Pelobates","fuscus","Common Eurasian spadefoot toad",NA,NA,8,NA,1740,NA,NA,NA,NA,NA,NA,11,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
100,"Animalia","Chordata","Amphibia","Anura","Pelodryadidae","Ranoidea","chloris","Orange-eyed tree frog",1096,1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"1433","wild","medium","acceptable",NA,NA,NA,NA,NA,"1433"
101,"Animalia","Chordata","Amphibia","Anura","Pelodryadidae","Ranoidea","lesueurii","Lesueurs frog	1096	730										5	1433	wild	small	acceptable						1433
00102	Animalia	Chordata	Amphibia	Anura	Pelodryadidae	Ranoidea	pearsoniana	Pearsons green tree frog",730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","unknown","medium","low",NA,NA,NA,NA,NA,"1433"
103,"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Agalychnis","callidryas","Red-eyed tree frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","unknown","large","low",NA,NA,NA,NA,NA,"485"
104,"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Agalychnis","spurrelli","Maroon-eyed tree frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,"451","captivity","tiny","acceptable",NA,NA,NA,NA,NA,"451"
105,"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Phyllomedusa","bicolor","Waxy treefrog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
106,"Animalia","Chordata","Amphibia","Anura","Pipidae","Pipa","pipa","Surinam toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
107,"Animalia","Chordata","Amphibia","Anura","Pipidae","Xenopus","laevis","African clawed frog",183,NA,2,NA,NA,NA,NA,NA,NA,130,NA,30.3,"451","captivity","large","acceptable",NA,NA,0.012,63.6,288,"10,37,196,451,526,607,749,1255"
108,"Animalia","Chordata","Amphibia","Anura","Pyxicephalidae","Pyxicephalus","adspersus","African bullfrog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451,749"
109,"Animalia","Chordata","Amphibia","Anura","Pyxicephalidae","Tomopterna","delalandii","Cape sand frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
110,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","catesbeianus","American bullfrog",1277,730,4,NA,NA,NA,NA,NA,NA,54.4,NA,16,"485","captivity","medium","acceptable",NA,NA,0.0134,51.2,288,"2,37,485,526,528,749"
111,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","clamitans","Green frog",730,730,NA,NA,4000,NA,NA,NA,NA,NA,NA,10,"528","captivity","medium","acceptable",NA,NA,NA,NA,NA,"528,749"
112,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","pipiens","Northern leopard frog",730,365,NA,NA,4146,NA,NA,NA,NA,29.0222,NA,9,"525","wild","medium","acceptable",NA,NA,0.00576,21.6,289.78,"37,42,268,525,528,749"
113,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","septentrionalis","Mink frog",730,547,NA,NA,2250,NA,NA,NA,NA,NA,NA,6,"528","wild","medium","acceptable",NA,NA,NA,NA,NA,"528,749"
114,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","sylvaticus","Wood frog",912,547,NA,NA,900,NA,NA,NA,NA,7.88,NA,5,"","unknown","medium","questionable",NA,NA,0.00416,7.8,289.8,"37,43,289,340,528,749"
115,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","virgatipes","Carpenter frog",NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,749"
116,"Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","lessonae","Pool frog",NA,NA,NA,NA,2420,NA,NA,NA,NA,NA,NA,6,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
117,"Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","nigromaculatus","Black-spotted frog",730,730,NA,NA,2800,NA,NA,NA,NA,NA,NA,15,"651","wild","medium","acceptable",NA,NA,NA,NA,NA,"651,749"
118,"Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","perezi","Italian green frog",912,912,6,NA,NA,NA,NA,NA,NA,NA,NA,6.8,"650","captivity","small","acceptable",NA,NA,NA,NA,NA,"525,650,749"
119,"Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","ridibundus","Marsh frog",1460,1095,NA,NA,6835,NA,NA,NA,NA,NA,NA,11,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749,895"
120,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","amurensis","Siberian wood frog",1640,1640,NA,NA,2125,NA,NA,NA,NA,NA,NA,9,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
121,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","arvalis","Moor frog",NA,NA,NA,NA,1750,NA,NA,NA,NA,NA,NA,11,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
122,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","aurora","Red-legged frog, or California red-legged frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"503","wild","medium","acceptable",NA,NA,NA,NA,NA,"503,1150"
123,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","esculenta","Edible frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525"
124,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","iberica","Iberian frog",NA,NA,NA,NA,318,NA,NA,NA,NA,NA,NA,8,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
125,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","macrocnemis","Long-legged wood frog",912,912,NA,NA,2040,NA,NA,NA,NA,NA,NA,5,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
126,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","temporaria","European frog",1095,1095,NA,NA,2585,NA,NA,NA,NA,NA,NA,27,"","unknown","medium","acceptable",NA,NA,NA,NA,NA,"25,525,526,749,1118"
127,"Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","Scaphiopus","couchii","Couchs spadefoot					3000							6.7	485	captivity	small	questionable						458,485,749
00128	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	holbrookii	Eastern spadefoot	730	730	8		3872							12.3	485	captivity	small	acceptable						485,528,749
00129	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Spea	intermontana	Great Basin spadefoot			3		676							20	437	wild	medium	acceptable						437,749
00130	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	gracile	Northwestern salamander	730	730			150							10.2	485	captivity	small	acceptable						485,749
00131	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	mabeei	Mabees salamander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485"
132,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","macrodactylum","Long-toed salamander",730,730,40,NA,250,NA,NA,NA,NA,NA,NA,10,"437","wild","medium","acceptable",NA,NA,NA,NA,NA,"437,749"
133,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","maculatum","Spotted salamander",1095,730,NA,NA,125,NA,NA,NA,NA,12.84,NA,32,"","unknown","medium","acceptable",NA,NA,0.005,12.8,290,"37,528,749"
134,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","mexicanum","Axolotl",548,548,18,NA,NA,NA,NA,NA,NA,NA,NA,17,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"449,451,749,796,843"
135,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","opacum","Marbled salamander",1296,1113,NA,NA,100,NA,NA,NA,NA,NA,NA,11.3,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,528,749"
136,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","rosaceum","Chihuahuan mole salamander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
137,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","talpoideum","Mole salamander",730,730,NA,NA,350,NA,NA,NA,NA,NA,NA,9,"749","unknown","medium","acceptable",NA,NA,NA,NA,NA,"528,749"
138,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","texanum","Small-mouthed salamander",NA,NA,35,NA,625,NA,NA,NA,NA,NA,NA,13.8,"485","captivity","tiny","acceptable",NA,NA,NA,NA,NA,"485,749"
139,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","tigrinum","Tiger salamander",1460,1460,28,NA,37,NA,NA,NA,NA,9.402,NA,25,"485","captivity","medium","acceptable",NA,NA,0.00196,3.21,291,"27,37,440,485,1143"
140,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Dicamptodon","ensatus","California giant salamander",NA,NA,150,NA,85,NA,NA,NA,NA,NA,NA,16.9,"451","captivity","tiny","acceptable",NA,NA,NA,NA,NA,"451,749"
141,"Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","means","Two-toed amphiuma",1460,1095,150,NA,200,NA,NA,NA,NA,200.967,NA,27,"485","captivity","small","acceptable",NA,NA,0.00904,199,288,"37,485,749"
142,"Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","tridactylum","Three-toed amphiuma",NA,NA,135,NA,200,NA,NA,NA,NA,NA,NA,15.9,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,749"
143,"Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","Andrias","davidianus","Chinese giant salamander",NA,NA,55,NA,500,NA,NA,NA,NA,NA,NA,NA,"","unknown","small","low",NA,NA,NA,NA,NA,"485,749"
144,"Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","Andrias","japonicus","Japanese giant salamander",1825,1825,60,NA,500,NA,NA,NA,NA,NA,NA,55,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"2,485,749"
145,"Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","Cryptobranchus","alleganiensis","Hellbender",1825,1825,72,NA,275,NA,NA,NA,NA,358.1,NA,29,"528","wild","medium","acceptable",NA,NA,0.0253,358,288,"37,440,528"
